,AAPL,MSFT,GOOGL,AMZN,TSLA,daily_sentiment
2019-01-01,0.02189765422443463,0.14084608369207383,0.22605409867082285,0.3288195461579846,0.39921349518689536,0.22336617558644223
2019-01-02,-0.36900933500091104,-0.2768677588022819,-0.15762492797858088,-0.07506626648277011,-0.020099968069178402,-0.17973365126674448
2019-01-03,0.14257752509569704,0.26242813507561374,0.37458650145073435,0.4715751032172231,0.5068728008034799,0.3516080131285496
2019-01-04,0.23921579829057318,0.31032560854456565,0.41805856765239746,0.48871791927362657,0.597131237332994,0.4106898262188314
2019-01-07,-0.6372548577159691,-0.5498082000819691,-0.44655798844633116,-0.36789808733319196,-0.2864946205217501,-0.45760275081984225
2019-01-08,-0.4536632223095625,-0.3379029995192528,-0.24182111577513957,-0.1682051222624707,-0.10307910854184342,-0.2609343136816538
2019-01-09,-0.024797035776618147,0.05177142305678254,0.1885968450221454,0.25557006083525236,0.3436672820577536,0.16296171503906315
2019-01-10,-0.15053348477013162,-0.06671156978178466,0.07060523311712985,0.1368710130653984,0.23569769052042666,0.04518577643020773
2019-01-11,-0.06745997177019243,0.03398592099053616,0.1350347457527797,0.22876150740804188,0.2997195570047063,0.12600835187717432
2019-01-14,-0.3177327580192725,-0.21134519700266205,-0.10837295718711865,-0.02472449595261738,0.03584452352674459,-0.12526617692698522
2019-01-15,0.21345055686764358,0.32408206041433585,0.42088991829532735,0.4892306950665391,0.5893980115740299,0.4074102484435752
2019-01-16,0.1806034137627535,0.2984893299835338,0.37982964329302643,0.45996877538458775,0.5200026928708784,0.367778771058956
2019-01-17,-0.039771939472715054,0.06603325459932172,0.1858598011796273,0.2467691789292611,0.3603866370722174,0.1638553864615425
2019-01-18,0.2784340409775976,0.3650137406903594,0.49380746494873085,0.5646824467390115,0.6419436261949479,0.4687762639101295
2019-01-21,0.0835702023005594,0.20618731864789916,0.2819409315775989,0.37518277789457444,0.46107714212096684,0.28159167450831973
2019-01-22,-0.3236705551785174,-0.1975455025324206,-0.10333252973898152,-0.016961271147712474,0.05320353845033511,-0.11766126402945938
2019-01-23,0.047364631309013444,0.1590866018310701,0.2270548621672514,0.3543785599605228,0.3979015043779277,0.2371572319291571
2019-01-24,-0.3394022702033151,-0.23560421286000147,-0.1351845203069268,-0.035744218935013006,0.017965553870376044,-0.1455939336869761
2019-01-25,0.2037516667750771,0.32426605428504407,0.3987620010434157,0.4976501822258905,0.5830840155677149,0.40150278397942846
2019-01-28,-0.08958954247919762,0.011185011619426387,0.11848688964639836,0.20921870364221518,0.2983535374245706,0.10953091997068258
2019-01-29,-0.11920574113197663,-0.0007339089137958048,0.08503282149319327,0.15919934305505845,0.24093531947053895,0.07304556679460364
2019-01-30,-0.2543201316181892,-0.13929218925552167,-0.06850512417991735,0.0506587223791322,0.11305269680001576,-0.05968120517489606
2019-01-31,0.30615323249053306,0.4022743018008143,0.5041634871028962,0.6134667549933517,0.6631359920536124,0.49783875368824154
2019-02-01,-0.10586647102297443,0.004784481347855302,0.09651834405322338,0.167779686785592,0.2500441935068935,0.08265204693411796
2019-02-04,-0.17842020555809252,-0.08858297633527573,0.001375803152556863,0.0884758704961501,0.14710604536456737,-0.006009092576018782
2019-02-05,-0.14126971502549934,-0.0717814046426726,0.01750886761277866,0.1306370148285918,0.18970118140030423,0.024959188834700552
2019-02-06,0.09370843326353515,0.23103789974344946,0.2993881375809507,0.4057920009239054,0.4596525970198954,0.29791581370634723
2019-02-07,0.06848454782900221,0.15327498272924384,0.2643296853082061,0.33085806726483696,0.3949486097977281,0.24237917858580346
2019-02-08,0.05183137154448816,0.19091244049872724,0.2369954681199939,0.3536274243489068,0.4484389696253419,0.2563611348274916
2019-02-11,0.07421665748076894,0.17941892125393075,0.26336007284402746,0.36585312626115823,0.4410456843174625,0.2647788924314695
2019-02-12,0.5714294236048192,0.6695434147139708,0.7772544902874567,0.8766054548625165,0.9269076509194376,0.7643480868776402
2019-02-13,-0.16263864830257949,-0.06778528957933194,0.03154418277868858,0.14234181318840328,0.179865907980971,0.024665593213230287
2019-02-14,-0.20049853558044553,-0.1296238285510956,-0.0015746702247684038,0.1050212920179561,0.16319096717263332,-0.012696955033144035
2019-02-15,-0.28721317352359976,-0.22090001550174695,-0.1131991740882389,0.013498608678931868,0.06077558676129402,-0.10940763353467195
2019-02-18,0.11753229599245296,0.22946669299187375,0.310938488776574,0.4092236836967679,0.478293300226647,0.3090908923368631
2019-02-19,0.29037002553343044,0.4013728036732186,0.46302395630154863,0.5663714494513801,0.6423563398782117,0.47269891496755784
2019-02-20,-0.09684992309658672,-0.005021444405183383,0.1144538761130863,0.20127055390264004,0.2815965586053964,0.09908992422387053
2019-02-21,-0.3138743098963086,-0.21531827364843195,-0.10733793079704476,-0.017892454833239438,0.04344771761908645,-0.12219505031118764
2019-02-22,-0.2975058944255037,-0.20503049468441845,-0.08407984255828434,-0.004132899685157966,0.058146903884999074,-0.10652044549367308
2019-02-25,0.14955723339575908,0.25171129983254764,0.34932544725319986,0.45418520319339917,0.5157816032446298,0.3441121573839071
2019-02-26,0.16938681143361414,0.25612156459131635,0.36654737390114933,0.4527608741185703,0.5262280980295071,0.3542089444148314
2019-02-27,0.09946667574807365,0.1998363678457926,0.3197438299670821,0.39295514623015554,0.48333278779989086,0.29906696151819895
2019-02-28,-0.26540776290306217,-0.1639425108762302,-0.04452696677469668,0.03097884274523101,0.10789452637762885,-0.06700077428622583
2019-03-01,0.031233839526839405,0.12313506202861059,0.20189332790787196,0.3011946357937929,0.3750154056973421,0.20649445419089138
2019-03-04,-0.013514593959488036,0.09866270111504061,0.15300643806273906,0.2685949339383928,0.3599604972472826,0.1733419952807934
2019-03-05,0.01869428362129623,0.1313016010949959,0.1974805535689792,0.29935912539403076,0.3556138525202229,0.200489883239905
2019-03-06,0.2321800999939493,0.2883167052315499,0.40235379766381274,0.47192278220791245,0.5594669418041902,0.39084806538028294
2019-03-07,0.0019365398259520994,0.1113982765205224,0.20791984136966968,0.2929607311934002,0.3853589263405118,0.19991486305001122
2019-03-08,0.1791343965216404,0.2502658557728652,0.3312199919421461,0.41882723643973174,0.4904254672547238,0.33397458958622145
2019-03-11,0.0029300372852740925,0.0773730765427291,0.17795723534699942,0.23179988490308445,0.3281437018613501,0.16364078718788744
2019-03-12,0.051100761691256005,0.11447685646629979,0.24446426076907363,0.29378632189824966,0.3883615282138767,0.21843794580775117
2019-03-13,0.1443542771777175,0.2590231712910782,0.35651416705183414,0.4015161878396512,0.4940135697930543,0.3310842746306671
2019-03-14,-0.4999715517468611,-0.38652155755132206,-0.3006771295614026,-0.20688140818705167,-0.14294481600455203,-0.3073992926102379
2019-03-15,-0.13872797325570538,-0.058090996269863464,0.044902410677307075,0.14032313198204144,0.2078664006809094,0.039254594762937814
2019-03-18,-0.20108605206873817,-0.08094163444976453,0.003643283506772646,0.09689578007504082,0.16822869457420164,-0.00265198567249752
2019-03-19,-0.24648664899628586,-0.12363897640133836,-0.03664560599588987,0.04352139958646959,0.0991708862135029,-0.05281578911870832
